epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8838,0.67857,2.17364,1.14077,0.75955,0.79155,0.87125,0.74303,0.60059,1.42923,1.0778,0.00332545,0.00332545,0.00332545
2,120.424,0.68946,1.23471,1.08643,0.71465,0.5705,0.66473,0.56231,0.57222,1.59307,1.0577,0.00659286,0.00659286,0.00659286
3,179.707,0.74384,1.05294,1.09453,0.83699,0.78586,0.87664,0.73318,0.62677,0.94953,1.09929,0.00979428,0.00979428,0.00979428
4,237.773,0.76989,0.91594,1.10953,0.89474,0.85807,0.9359,0.79654,0.59276,0.64424,1.0727,0.009703,0.009703,0.009703
5,295.617,0.73585,0.75554,1.08916,0.89369,0.85914,0.94519,0.81931,0.55876,0.62375,1.03925,0.009604,0.009604,0.009604
6,353.421,0.71302,0.66761,1.07366,0.7994,0.76811,0.87405,0.75453,0.56029,0.83165,1.03856,0.009505,0.009505,0.009505
7,412.33,0.70188,0.62545,1.06512,0.91356,0.84834,0.9505,0.82582,0.5498,0.58039,1.02877,0.009406,0.009406,0.009406
8,470.896,0.68163,0.59808,1.05761,0.94439,0.93065,0.97762,0.85391,0.54191,0.39872,1.03016,0.009307,0.009307,0.009307
9,530.499,0.67853,0.57598,1.0554,0.92973,0.92832,0.97474,0.85621,0.52404,0.39326,1.00855,0.009208,0.009208,0.009208
10,591.056,0.67036,0.55031,1.05462,0.97054,0.95117,0.98912,0.86784,0.53244,0.32104,1.00865,0.009109,0.009109,0.009109
11,651.324,0.6602,0.53075,1.04284,0.96384,0.93986,0.98441,0.86879,0.51721,0.35286,1.00308,0.00901,0.00901,0.00901
12,710.62,0.64249,0.50618,1.03629,0.96458,0.96437,0.98419,0.87063,0.51394,0.3408,0.99846,0.008911,0.008911,0.008911
13,770.232,0.64081,0.50054,1.03469,0.96158,0.96457,0.98692,0.87391,0.51543,0.31868,1.00201,0.008812,0.008812,0.008812
14,829.599,0.64011,0.49906,1.03415,0.96604,0.94215,0.98483,0.86868,0.51661,0.34047,1.00143,0.008713,0.008713,0.008713
15,889.708,0.63145,0.47587,1.0324,0.96201,0.94134,0.98066,0.87216,0.51525,0.36288,0.99777,0.008614,0.008614,0.008614
16,949.495,0.63668,0.46244,1.03509,0.97369,0.96736,0.98061,0.87206,0.5124,0.31478,0.99548,0.008515,0.008515,0.008515
17,1008.67,0.61604,0.44484,1.02038,0.97064,0.95327,0.98356,0.87954,0.5005,0.32309,0.98894,0.008416,0.008416,0.008416
18,1066.73,0.62378,0.45241,1.02735,0.96973,0.96094,0.9877,0.87945,0.50872,0.30772,0.99506,0.008317,0.008317,0.008317
19,1126.04,0.61244,0.43635,1.01933,0.97415,0.96734,0.99078,0.88178,0.51351,0.29285,0.99198,0.008218,0.008218,0.008218
20,1184.52,0.61331,0.43855,1.02234,0.98068,0.97547,0.99323,0.89101,0.50525,0.27057,0.98842,0.008119,0.008119,0.008119
21,1242.71,0.61475,0.43218,1.02722,0.98083,0.98603,0.99372,0.88897,0.49495,0.26143,0.97918,0.00802,0.00802,0.00802
22,1300.52,0.60222,0.42726,1.01437,0.97535,0.96957,0.98622,0.88387,0.49894,0.29471,0.98763,0.007921,0.007921,0.007921
23,1359.07,0.6019,0.41571,1.01501,0.97613,0.97379,0.98899,0.88587,0.49093,0.29136,0.97505,0.007822,0.007822,0.007822
24,1417.81,0.60942,0.41497,1.02048,0.96738,0.96709,0.98249,0.87932,0.50707,0.31676,0.98688,0.007723,0.007723,0.007723
25,1476.08,0.60413,0.41077,1.01683,0.9677,0.97909,0.98149,0.87722,0.50561,0.28922,0.99059,0.007624,0.007624,0.007624
26,1534.2,0.59886,0.40829,1.01514,0.97405,0.96314,0.99051,0.88599,0.51417,0.28309,0.99218,0.007525,0.007525,0.007525
